iter	Passed	Remaining
201	12719	50247
202	12763	50109
203	12813	49996
204	12853	49845
205	12900	49724
206	12945	49594
207	12988	49455
208	13032	49323
209	13077	49197
210	13130	49100
211	13175	48973
212	13229	48881
213	13271	48745
214	13317	48623
215	13354	48472
216	13395	48336
217	13439	48210
218	13483	48083
219	13528	47963
220	13575	47852
221	13618	47727
222	13664	47610
223	13707	47485
224	13754	47375
225	13802	47271
226	13854	47178
227	13897	47056
228	13941	46937
229	13983	46815
230	14028	46701
231	14111	46712
232	14158	46607
233	14212	46523
234	14261	46424
235	14308	46319
236	14356	46218
237	14398	46099
238	14444	45993
239	14491	45888
240	14540	45793
241	14589	45696
242	14638	45603
243	14682	45490
244	14729	45390
245	14769	45270
246	14807	45142
247	14845	45015
248	14881	44882
249	14923	44770
250	14964	44653
251	15003	44533
252	15041	44410
253	15076	44279
254	15110	44146
255	15146	44019
256	15181	43890
257	15218	43768
258	15254	43642
259	15285	43504
260	15312	43354
261	15337	43202
262	15365	43058
263	15398	42928
264	15434	42808
265	15472	42693
266	15512	42587
267	15554	42484
268	15592	42373
269	15633	42268
270	15670	42155
271	15708	42043
272	15747	41935
273	15782	41818
274	15818	41704
275	15858	41600
276	15892	41481
277	15927	41364
278	15959	41244
279	15996	41134
280	16034	41028
281	16128	41063
282	16216	41084
283	16298	41089
284	16377	41087
285	16450	41067
286	16517	41035
287	16601	41042
288	16639	40937
289	16685	40850
290	16730	40763
291	16778	40681
292	16829	40608
293	16872	40517
294	16918	40431
295	16961	40340
296	17007	40256
297	17049	40164
298	17093	40075
299	17138	39989
300	17177	39889
301	17217	39794
302	17254	39691
303	17299	39606
304	17339	39511
305	17379	39415
306	17431	39348
307	17478	39268
308	17527	39194
309	17578	39126
310	17629	39056
311	17668	38962
312	17708	38868
313	17745	38769
314	17782	38668
315	17823	38579
316	17856	38473
317	17893	38375
318	17930	38278
319	17968	38182
320	18004	38084
321	18040	37986
322	18075	37886
323	18111	37787
324	18146	37688
325	18181	37590
326	18215	37490
327	18256	37404
328	18289	37302
329	18322	37199
330	18355	37100
331	18390	37001
332	18424	36904
333	18459	36808
334	18494	36711
335	18529	36616
336	18564	36522
337	18597	36423
338	18630	36327
339	18671	36243
340	18704	36148
341	18738	36052
342	18776	35964
343	18811	35873
344	18845	35780
345	18884	35694
346	18918	35601
347	18952	35508
348	18986	35415
349	19020	35324
350	19056	35234
351	19094	35151
352	19134	35070
353	19172	34986
354	19212	34907
355	19251	34825
356	19287	34738
357	19316	34640
358	19347	34545
359	19378	34450
360	19410	34358
361	19444	34269
362	19478	34180
363	19511	34091
364	19544	34002
365	19576	33910
366	19607	33819
367	19645	33739
368	19682	33657
369	19724	33584
370	19774	33525
371	19813	33448
372	19853	33373
373	19890	33293
374	19929	33215
375	19970	33142
376	20008	33065
377	20047	32987
378	20090	32918
379	20130	32845
380	20169	32769
381	20205	32689
382	20255	32630
383	20299	32564
384	20344	32498
385	20384	32424
386	20421	32347
387	20461	32273
388	20505	32207
389	20548	32140
390	20589	32068
391	20624	31988
392	20663	31914
393	20701	31839
394	20739	31765
395	20783	31700
396	20818	31620
397	20849	31535
398	20882	31454
399	20918	31377
